Date,Price,Open,High,Low,Vol.,Change %
15-Oct-18,78.75,79.14,79.14,77.87,-,0.50%
12-Oct-18,78.36,77.13,78.84,77.05,-,2.10%
11-Oct-18,76.75,76.9,77.7,76.22,-,-0.08%
10-Oct-18,76.81,77.11,77.57,76.51,-,-0.21%
9-Oct-18,76.97,77.38,77.89,76.28,-,-0.76%
8-Oct-18,77.56,76.3,77.6,76.28,-,1.93%
5-Oct-18,76.09,76.12,76.71,76.01,-,0.13%
4-Oct-18,75.99,76.61,76.76,75.64,-,-0.59%
3-Oct-18,76.44,76.34,76.83,76.07,-,0.28%
2-Oct-18,76.23,76.22,76.79,75.76,-,-0.09%
1-Oct-18,76.3,76.36,77.15,75.38,-,-0.10%
28-Sep-18,76.38,77.69,77.88,76.28,-,-1.71%
27-Sep-18,77.71,78.52,78.53,77.33,-,-1.08%
26-Sep-18,78.56,79.2,79.6,78.42,-,-0.52%
25-Sep-18,78.97,78.76,79.21,78.11,-,0.52%
24-Sep-18,78.56,79.24,79.3,78.31,-,-0.73%
21-Sep-18,79.14,78.29,79.21,78.02,-,0.87%
20-Sep-18,78.46,78.74,78.98,78.19,-,-0.33%
19-Sep-18,78.72,78.37,79.32,77.91,-,0.13%
18-Sep-18,78.62,81.23,81.62,78.36,-,-3.34%
17-Sep-18,81.34,81.75,82.36,81.31,-,-0.61%
14-Sep-18,81.84,81.45,81.98,81.39,-,0.42%
13-Sep-18,81.5,82.38,82.4,81.41,-,-1.42%
12-Sep-18,82.67,82.98,83.44,81.6,-,-0.27%
11-Sep-18,82.89,83.81,83.89,81.97,-,-1.19%
10-Sep-18,83.89,83.21,83.9,82.64,-,2.30%
7-Sep-18,82,81.28,83.4,81.21,-,0.87%
6-Sep-18,81.29,81.77,82.07,81.24,-,-0.57%
5-Sep-18,81.76,82.69,82.97,81.46,-,-1.23%
4-Sep-18,82.78,82.83,83.02,81.35,-,0.60%
31-Aug-18,82.29,82.21,82.96,82.06,-,0.06%
30-Aug-18,82.24,82.92,83.19,81.91,-,-0.63%
29-Aug-18,82.76,84.23,84.25,82.16,-,-0.96%
28-Aug-18,83.56,83.18,83.9,82.66,-,0.42%
27-Aug-18,83.21,81.46,83.52,81.35,-,1.89%
24-Aug-18,81.67,81.51,83.2,81.37,-,0.21%
23-Aug-18,81.5,82.27,82.34,81.14,-,-0.98%
22-Aug-18,82.31,83.37,83.61,82.04,-,-1.14%
21-Aug-18,83.26,82.85,84.05,82.54,-,0.65%
20-Aug-18,82.72,81.42,83.17,81.4,-,1.58%
17-Aug-18,81.43,81.57,81.91,81.1,-,-0.42%
16-Aug-18,81.77,80.8,82.2,80.63,-,1.15%
15-Aug-18,80.84,83.14,83.41,80.69,-,-2.67%
14-Aug-18,83.06,82.72,83.44,82.51,-,0.16%
13-Aug-18,82.93,85.17,85.17,82.02,-,-2.68%
10-Aug-18,85.21,87.24,87.67,85.16,-,-2.35%
9-Aug-18,87.26,87.18,87.38,86.85,-,0.08%
8-Aug-18,87.19,87.92,88.32,87.14,-,-0.84%
7-Aug-18,87.93,88.83,89.17,87.08,-,-0.50%
6-Aug-18,88.37,87.34,88.65,87.28,-,0.23%
3-Aug-18,88.17,88.69,89.1,86.77,-,-0.74%
2-Aug-18,88.83,88.07,88.87,87.71,-,0.55%
1-Aug-18,88.34,89.21,89.97,88.32,-,-1.35%
31-Jul-18,89.55,89.34,89.82,88.96,-,0.47%
30-Jul-18,89.13,88.44,89.76,87.78,-,0.93%
27-Jul-18,88.31,88.13,88.58,87.33,-,0.15%
26-Jul-18,88.18,88.21,88.31,87.06,-,0.24%
25-Jul-18,87.97,86.87,88.59,86.85,-,1.49%
24-Jul-18,86.68,86.66,87.34,86.12,-,-0.20%
23-Jul-18,86.85,86.96,87.18,86.37,-,-0.30%
20-Jul-18,87.11,87.86,87.96,86.21,-,-0.55%
19-Jul-18,87.59,88.19,88.44,87.33,-,-0.57%
18-Jul-18,88.09,88.42,88.79,87.88,-,-0.24%
17-Jul-18,88.3,87.67,88.48,86.83,-,0.56%
16-Jul-18,87.81,88.12,88.28,87.24,-,-0.06%
13-Jul-18,87.86,88.71,88.91,86.72,-,-0.77%
12-Jul-18,88.54,84.61,88.54,84.48,-,4.66%
